Date,Service,Direction,Langue,Record_count
17-09-2018,SMS,direct,fr,251
18-09-2018,Chat,direct,fr,94
18-09-2018,Call,direct,fr,243
19-09-2018,Chat,direct,fr,98
19-09-2018,Call,direct,fr,238
20-09-2018,Chat,direct,fr,55
20-09-2018,Call,direct,fr,182
21-09-2018,Chat,direct,fr,8
24-09-2018,Chat,direct,fr,98
24-09-2018,SMS,direct,fr,270
24-09-2018,Call,direct,fr,276
25-09-2018,Chat,direct,fr,90
25-09-2018,Call,direct,fr,277
26-09-2018,Chat,direct,fr,125
26-09-2018,Call,direct,fr,276
27-09-2018,Chat,direct,fr,79
27-09-2018,Call,direct,fr,229
28-09-2018,Chat,direct,fr,6
01-10-2018,SMS,direct,fr,156
02-10-2018,Chat,direct,fr,97
02-10-2018,Call,direct,fr,308
03-10-2018,Chat,direct,fr,124
03-10-2018,Call,direct,fr,296
04-10-2018,Chat,direct,fr,84
04-10-2018,Call,direct,fr,212
05-10-2018,Chat,direct,fr,2
08-10-2018,SMS,direct,fr,217
09-10-2018,Chat,direct,fr,117
09-10-2018,Call,direct,fr,246
10-10-2018,Chat,direct,fr,105
10-10-2018,Call,direct,fr,274
11-10-2018,Chat,direct,fr,98
11-10-2018,Call,direct,fr,227
12-10-2018,Chat,direct,fr,5
15-10-2018,Chat,direct,fr,102
15-10-2018,Call,direct,fr,283
15-10-2018,SMS,direct,fr,286
16-10-2018,Chat,direct,fr,139
16-10-2018,Call,direct,fr,268
17-10-2018,Chat,direct,fr,114
17-10-2018,Call,direct,fr,263
18-10-2018,Chat,direct,fr,49
18-10-2018,Call,direct,fr,191
19-10-2018,Chat,direct,fr,7
22-10-2018,Chat,direct,fr,110
22-10-2018,SMS,direct,fr,264
22-10-2018,Call,direct,fr,286
23-10-2018,Chat,direct,fr,82
23-10-2018,Call,direct,fr,255
24-10-2018,Chat,direct,fr,115
24-10-2018,Call,direct,fr,248
25-10-2018,Chat,direct,fr,88
25-10-2018,Call,direct,fr,175
26-10-2018,Chat,direct,fr,7
29-10-2018,Chat,direct,fr,118
29-10-2018,Call,direct,fr,320
29-10-2018,SMS,direct,fr,209
30-10-2018,Chat,direct,fr,97
30-10-2018,Call,direct,fr,227
31-10-2018,Chat,direct,fr,51
31-10-2018,Call,direct,fr,155
01-11-2018,Call,direct,fr,176
01-11-2018,Chat,direct,fr,83
02-11-2018,Chat,direct,fr,8
05-11-2018,Call,direct,fr,272
05-11-2018,Chat,direct,fr,67
05-11-2018,SMS,direct,fr,208
06-11-2018,Call,direct,fr,248
06-11-2018,Chat,direct,fr,113
07-11-2018,Call,direct,fr,213
07-11-2018,Chat,direct,fr,104
08-11-2018,Call,direct,fr,147
08-11-2018,Chat,direct,fr,81
09-11-2018,Chat,direct,fr,35
12-11-2018,Call,direct,fr,205
12-11-2018,Chat,direct,fr,60
